name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,1400,67,571674,False,0,0,0,3000017,5.247775830280895,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,327,35,166238,False,0,0,0,732123,4.404065255838016,1
Test_01-03_rouders_PNGOUT.ppm.ppm,95,18,46159,False,0,0,0,378015,8.189410515825733,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,6909,187,2170860,False,0,0,0,14066800,6.479828270823544,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,271,39,173488,True,0,0,0,750015,4.323152033570045,1
Test_02PNG-PNGOUTWin.ppm.ppm,2858,94,1585122,False,0,0,0,4572449,2.884603834909868,1
Test_03PNG-PNGOUTWin.ppm.ppm,9253,202,4804136,False,0,0,0,15573905,3.241770216330262,1
Test_20_petra_cold_landscape.png.ppm,1537,55,1087068,True,0,0,0,2359312,2.170344449473262,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,423,36,134743,False,0,0,0,1318575,9.785851584126819,1
Test_248080202_731e632c11_o.png.ppm,191,27,57856,False,0,0,0,750015,12.963478290929203,1
Test_275000.ppm.ppm,492,36,295474,True,0,0,0,1064355,3.60219511699845,1
Test_275001.ppm.ppm,448,50,292549,True,0,0,0,1065615,3.6425180055306976,1
Test_275002.ppm.ppm,539,49,341319,True,0,0,0,1083375,3.1740834820212176,1
Test_275003.ppm.ppm,480,75,290338,True,0,0,0,1087815,3.7467193409061164,1
Test_275004.ppm.ppm,468,43,284664,True,0,0,0,1084875,3.8110720006744794,1
Test_275005.ppm.ppm,469,37,275762,True,0,0,0,1070055,3.8803569744924973,1
Test_275006.ppm.ppm,429,42,254565,True,0,0,0,1083375,4.255789287608273,1
Test_275007.ppm.ppm,421,50,265360,True,0,0,0,1072947,4.0433637322882126,1
Test_275008.ppm.ppm,424,51,264219,True,0,0,0,1090755,4.1282231784996535,1
Test_275009.ppm.ppm,525,38,317944,True,0,0,0,1070187,3.3659606723196536,1
Test_2mpampjjpg.png.ppm,1576,57,969473,False,0,0,0,2218000,2.287840919757435,1
Test_354000.ppm.ppm,690,39,447775,True,0,0,0,1080447,2.412923901513037,1
Test_354001.ppm.ppm,710,50,409252,True,0,0,0,1081935,2.6436889740306704,1
Test_354002.ppm.ppm,632,49,433898,True,0,0,0,1086351,2.5037013307274982,1
Test_354003.ppm.ppm,682,38,471974,True,0,0,0,1086303,2.3016161907223704,1
Test_354004.ppm.ppm,685,39,409479,True,0,0,0,1071591,2.6169620420094803,1
Test_354005.ppm.ppm,618,37,379835,True,0,0,0,1061379,2.7943159529795834,1
Test_354006.ppm.ppm,622,35,398491,True,0,0,0,1080447,2.7113460529848856,1
Test_354007.ppm.ppm,658,37,470067,True,0,0,0,1077519,2.292266847066482,1
Test_354008.ppm.ppm,692,41,501431,True,0,0,0,1074591,2.143048594921335,1
Test_354009.ppm.ppm,620,37,414127,True,0,0,0,1077519,2.601904729708519,1
Test_384001.ppm.ppm,563,34,396880,True,0,0,0,1068735,2.6928416649868976,1
Test_384002.ppm.ppm,558,51,369305,True,0,0,0,1071663,2.901837234805919,1
Test_384003.ppm.ppm,572,46,389045,True,0,0,0,1087815,2.7961161305247466,1
Test_384004.ppm.ppm,662,45,467930,True,0,0,0,1179663,2.521024512213365,1
Test_384006.ppm.ppm,593,38,386926,True,0,0,0,1078911,2.788416906591958,1
Test_384007.ppm.ppm,625,41,440447,True,0,0,0,1064355,2.4165336578521366,1
Test_384009.ppm.ppm,701,45,452270,True,0,0,0,1081935,2.3922325159749707,1
Test_384010.ppm.ppm,630,38,444990,True,0,0,0,1067163,2.3981729926515203,1
Test_384010-2.ppm.ppm,408,32,292250,True,0,0,0,737295,2.5228229255774166,1
Test_384011.ppm.ppm,579,50,414616,True,0,0,0,1059951,2.556464294672661,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,149,26,42008,False,0,0,0,468015,11.141092172919445,1
Test_618px-Speed1c.ppm.ppm,575,37,306470,False,0,0,0,1112415,3.6297680033934805,1
Test_800px-0849_pilar_ebro_2004.ppm.ppm,567,35,334212,True,0,0,0,1176015,3.5187695235359593,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm.ppm,376,33,217870,True,0,0,0,795015,3.649033827511819,1
Test_architecture-5ao.ppm.ppm,3006,70,1960404,True,0,0,0,3961816,2.020918137281907,1
Test_architecture-7q7.ppm.ppm,2725,74,2022706,True,0,0,0,3961816,1.9586712058005464,1
Test_artificial8_full_PNGOUT.ppm.ppm,4364,173,968755,False,0,0,0,18874385,19.483135570913184,1
Test_Ashton_landscape.png.ppm,1246,63,612805,True,0,0,0,2359312,3.850020805966009,1
Test_aspens.ppm.ppm,292,26,192105,True,0,0,0,968775,5.042945264308581,1
Test_auto1.ppm.ppm,935,36,736215,True,0,0,0,1440015,1.9559707422424155,1
Test_balloon.ppm.ppm,473,45,433485,True,0,0,0,740367,1.7079414512612894,1
Test_barbara_PNGOUT.ppm.ppm,727,43,444890,True,0,0,0,1244175,2.796590168356223,1
Test_barbara2_PNGOUT.ppm.ppm,760,40,467372,True,0,0,0,1244175,2.6620657634603697,1
Test_battery-6rc0.ppm.ppm,2709,71,1863107,True,0,0,0,3961816,2.1264565051819355,1
Test_beach1.ppm.ppm,468,43,420044,True,0,0,0,740367,1.7625939187323232,1
Test_beach2.ppm.ppm,455,46,389947,True,0,0,0,740367,1.898634942697341,1
Test_bear.ppm.ppm,170,26,80150,True,0,0,0,332583,4.149507174048659,1
Test_BigBuckBunny-Landscape.png.ppm,3752,102,1740794,False,0,0,0,5760017,3.308844699602595,1
Test_bike.rgb_PNGOUT.ppm.ppm,13864,244,7159625,True,0,0,0,15728657,2.1968548632086176,1
Test_bike3.ppm.ppm,1758,56,1225292,True,0,0,0,2148135,1.7531616953346632,1
Test_black.ppm.ppm,669,49,388461,True,0,0,0,1244175,3.202831172241229,1
Test_BlockMap_Photoshop_PNGOUT.ppm.ppm,6761,145,4366463,True,0,0,0,8631497,1.9767709012992896,1
Test_BML_CAT_Chartres_03k_PNGOUT.ppm.ppm,986,56,627549,False,0,0,0,1555863,2.479269347891559,1
Test_boots_PNGOUT.ppm.ppm,1287,52,627682,False,0,0,0,2608132,4.155180489483528,1
Test_Bretagne2.ppm.ppm,10019,227,4196464,True,0,0,0,15116561,3.6022139115217002,1
Test_brick.ppm.ppm,10064,226,4021931,True,0,0,0,15116561,3.758533152358904,1
Test_bullfight.ppm.ppm,182,33,123561,True,0,0,0,294927,2.386893922839731,1
Test_BumbleBee_HedKase.ppm.ppm,11283,474,998170,False,0,0,0,58320017,58.426938297083666,1
Test_cafe.rgb.ppm.ppm,15485,283,8676159,True,0,0,0,15728657,1.8128594692651436,1
Test_captured_Image-png_4d60c4b0-7133-4ef8-bbe0-be0e27b0bf29_PNGOUT.ppm.ppm,404,34,225795,False,0,0,0,744015,3.295090679598751,1
Test_carpets-j4h.ppm.ppm,2868,73,2147539,True,0,0,0,3961816,1.8448167879605446,1
Test_cathedral.ppm.ppm,16272,277,7546781,True,0,0,0,18048017,2.391485455851972,1
Test_cement.ppm.ppm,8177,244,3598298,True,0,0,0,15116561,4.201030876264278,1
Test_Cevennes1.ppm.ppm,10269,211,4910441,True,0,0,0,15116561,3.078452831425935,1
Test_Cevennes2.ppm.ppm,417,35,218928,True,0,0,0,921615,4.209671672878755,1
Test_Chart_pulinco_PNGOUT.ppm.ppm,830,53,228414,False,0,0,0,2423536,10.610277828854624,1
Test_chart2_PNGOUT.ppm.ppm,615,27,16352,False,0,0,0,2024475,123.80595645792563,1
Test_ChartBuilder_PNGOUT.ppm.ppm,303,27,59328,False,0,0,0,1727523,29.11817354368932,1
Test_chinook.ppm.ppm,407,46,140648,True,0,0,0,1179663,8.387342870143906,1
Test_ciudad-2_0.png.ppm,357,24,172205,False,0,0,0,1491855,8.66325019598734,1
Test_coffee2-216x300.png.ppm,91,22,58459,False,0,0,0,194415,3.325664140679793,1
Test_colours-10.ppm.ppm,2913,71,2156308,True,0,0,0,3961816,1.8373145209311472,1
Test_colours-an5.ppm.ppm,2794,75,2294375,True,0,0,0,3961816,1.7267517297739037,1
Test_computer-301.ppm.ppm,2738,71,1876600,True,0,0,0,3961816,2.111167004156453,1
Test_computer-309.ppm.ppm,2881,73,2373584,True,0,0,0,3961816,1.6691282044368347,1
Test_Cone-response.ppm.ppm,105,16,11567,False,0,0,0,570915,49.35722313477998,1
Test_construction-06.ppm.ppm,2778,72,1765109,True,0,0,0,3978856,2.2541701390678988,1
Test_construction-g6vr.ppm.ppm,2880,74,2190129,True,0,0,0,3961816,1.8089418477176458,1
